Date,close,kaipan,max,min,final
10/4/2014,34.9,34.9,34.9,34.9,34.9
10/5/2014,34.9,34.9,34.9,34.9,34.9
10/6/2014,34.9,34.9,34.9,34.9,34.9
10/7/2014,34.9,34.9,34.9,34.9,34.9
10/8/2014,35,35,35,35,35
10/9/2014,35.1,35.1,35.1,35.1,35.1
10/10/2014,35.1,35.1,35.1,35.1,35.1
10/11/2014,35.1,35.1,35.1,35.1,35.1
10/12/2014,35.1,35.1,35.1,35.1,35.1
10/13/2014,35.5,35.5,35.5,35.5,35.5
10/14/2014,35.5,35.5,35.5,35.5,35.5
10/15/2014,35.3,35.3,35.3,35.3,35.3
10/16/2014,35.5,35.5,35.5,35.5,35.5
10/17/2014,35.7,35.5,35.8,35.5,35.5
10/18/2014,35.7,35.5,35.8,35.5,35.5
10/19/2014,35.7,35.5,35.8,35.5,35.5
10/20/2014,35.8,35.8,35.8,35.8,35.8
10/21/2014,35.8,35.8,35.8,35.8,35.8
10/22/2014,35.8,35.8,35.8,35.8,35.8
10/23/2014,35.8,35.8,35.8,35.8,35.8
10/24/2014,35.8,35.8,35.8,35.8,35.8
10/25/2014,35.8,35.8,35.8,35.8,35.8
10/26/2014,35.8,35.8,35.8,35.8,35.8
10/27/2014,35.8,35.8,35.8,35.8,35.8
10/28/2014,35.8,35.8,35.8,35.8,35.8
10/29/2014,35.8,35.8,35.8,35.8,35.8
10/30/2014,35.8,35.8,35.8,35.8,35.8
10/31/2014,35.6,35.6,35.6,35.6,35.6
11/1/2014,35.6,35.6,35.6,35.6,35.6
11/2/2014,35.6,35.6,35.6,35.6,35.6
11/3/2014,35.8,35.8,35.8,35.8,35.8
11/4/2014,35.8,35.8,35.8,35.8,35.8
11/5/2014,35.8,35.8,35.8,35.8,35.8
11/6/2014,35.8,35.8,35.8,35.8,35.8
11/7/2014,35.8,35.8,35.8,35.8,35.8
11/8/2014,35.8,35.8,35.8,35.8,35.8
11/9/2014,35.8,35.8,35.8,35.8,35.8
11/10/2014,35.8,35.8,35.8,35.8,35.8
11/11/2014,35.5,35.5,35.5,35.5,35.5
11/12/2014,35.8,35.8,35.8,35.8,35.8
11/13/2014,35.8,35.7,35.8,35.7,35.72
11/14/2014,35.1,35.5,35.5,35.5,35.14
11/15/2014,35.1,35.5,35.5,35.5,35.14
11/16/2014,35.1,35.5,35.5,35.5,35.14
11/17/2014,35.14,35.5,35.5,35.5,35.14
11/18/2014,32.8,32.8,32.8,32.8,32.8
11/19/2014,35.8,35.8,35.8,35.8,35.8
11/20/2014,30,30,30,30,30
11/21/2014,30.8,31,32,31,30.8
11/22/2014,30.8,31,32,31,30.8
11/23/2014,30.8,31,32,31,30.8
11/24/2014,32,32,32,32,32
11/25/2014,33.2,33.1,33.4,33.1,33.2
11/26/2014,34.2,33.4,36,33.4,34.2
11/27/2014,35.6,35.6,35.6,35.6,35.6
11/28/2014,35.4,36.1,36.4,36.1,35.79
11/29/2014,35.4,36.1,36.4,36.1,35.79
11/30/2014,35.4,36.1,36.4,36.1,35.79
12/1/2014,36.2,36.2,36.9,36.2,36.44
12/2/2014,35.8,36.19,36.19,36.19,35.78
12/3/2014,35.9,36.1,36.1,36.1,35.9
12/4/2014,35.7,35.9,35.9,35.9,35.8
12/5/2014,35.3,35.7,35.7,35.7,35.58
12/6/2014,35.3,35.7,35.7,35.7,35.58
12/7/2014,35.3,35.7,35.7,35.7,35.58
12/8/2014,35.4,35.5,35.5,35.5,35.05
12/9/2014,35.2,35.4,35.4,35.4,35.28
12/10/2014,34.8,35.2,35.2,35.2,34.8
12/11/2014,34.6,34.1,34.8,34.1,34.48
12/12/2014,34.3,34.2,34.5,34.2,34.22
12/13/2014,34.3,34.2,34.5,34.2,34.22
12/14/2014,34.3,34.2,34.5,34.2,34.22
12/15/2014,34.3,34.3,34.3,34.3,34.3
12/16/2014,34.3,34.3,34.3,34.3,34.27
12/16/2014,34.3,34.3,34.3,34.3,34.27
12/17/2014,34.4,34.6,34.6,34.6,34.48
12/18/2014,33.9,34.3,34.4,34.3,33.63
12/18/2014,33.9,34.3,34.4,34.3,33.63
12/19/2014,33.8,33.9,33.9,33.9,33.83
12/20/2014,33.8,33.9,33.9,33.9,33.83
12/21/2014,33.8,33.9,33.9,33.9,33.83
12/22/2014,33.3,33.8,33.8,33.8,33.3
12/23/2014,32.9,34,34,34,33.06
12/24/2014,32.5,34.2,34.2,34.2,32.72
12/25/2014,32.2,32.2,32.2,32.2,32.2
12/26/2014,32.1,32.1,32.1,32.1,32.1
12/27/2014,32.1,32.1,32.1,32.1,32.1
12/28/2014,32.1,32.1,32.1,32.1,32.1
12/29/2014,32.65,32.5,33.1,32.5,32.65
12/30/2014,32.65,32.5,33.1,32.5,32.65
12/31/2014,32.65,32.5,33.1,32.5,32.65
1/1/2015,32.65,32.5,33.1,32.5,32.65
1/2/2015,32.65,32.5,33.1,32.5,32.65
1/3/2015,32.65,32.5,33.1,32.5,32.65
1/4/2015,32.65,32.5,33.1,32.5,32.65
1/5/2015,26.6,26.6,26.6,26.6,26.6
1/6/2015,27.9,27.9,27.9,27.9,27.9
1/7/2015,26.7,26.7,26.7,26.7,26.7
1/8/2015,28.2,26.7,33.6,26.7,28.88
1/9/2015,29.8,29.8,29.8,29.8,29.8
1/10/2015,29.8,29.8,29.8,29.8,29.8
1/11/2015,29.8,29.8,29.8,29.8,29.8
1/12/2015,34.4,29.8,30.5,29.8,29.84
1/13/2015,26.3,26.3,26.3,26.3,26.3
1/14/2015,23,23,23,23,23
1/15/2015,21,21,21,21,21
1/16/2015,27.3,27.3,27.3,27.3,27.3
1/17/2015,27.3,27.3,27.3,27.3,27.3
1/18/2015,27.3,27.3,27.3,27.3,27.3
1/19/2015,29.9,27.3,30.1,27.3,27.88
1/20/2015,31.8,30.1,35,30.1,30.88
1/21/2015,35.11,35.11,35.11,35.11,35.11
1/22/2015,35.3,35.11,35.3,35.11,34.99
1/23/2015,32.7,35.11,34.7,35.11,33.75
1/24/2015,32.7,35.11,34.7,35.11,33.75
1/25/2015,32.7,35.11,34.7,35.11,33.75
1/26/2015,33.1,32.7,33.5,32.7,32.62
1/27/2015,33,33,33,33,33
1/28/2015,32.3,32.3,32.3,32.3,32.3
1/29/2015,30,30.74,35,30.74,33.26
1/30/2015,31.9,33.26,35,33.26,31.9
1/31/2015,31.9,33.26,35,33.26,31.9
2/1/2015,31.9,33.26,35,33.26,31.9
2/2/2015,35.1,31.9,35.7,31.9,34.09
2/3/2015,35.1,35.5,35.7,35.5,34.09
2/4/2015,35,35,35,35,35
2/5/2015,34,34,34,34,34
2/6/2015,33.8,34,34,34,33.6
2/7/2015,33.8,34,34,34,33.6
2/8/2015,33.8,34,34,34,33.6
2/9/2015,32.9,33.9,33.9,33.9,33.8
2/10/2015,32.6,31.2,32.7,31.2,32.7
2/11/2015,33.7,33.9,33.9,33.9,33.83
2/12/2015,33.7,33.8,33.8,33.8,33.71
2/12/2015,33.7,33.8,33.8,33.8,33.71
2/13/2015,33.7,33.8,33.8,33.8,33.71
2/14/2015,33.7,33.8,33.8,33.8,33.71
2/15/2015,33.7,33.8,33.8,33.8,33.71
2/16/2015,32.1,32.5,32.5,32.5,32.27
2/17/2015,32.1,33,33,33,32.1
2/18/2015,32.1,33,33,33,32.1
2/19/2015,32.1,33,33,33,32.1
2/20/2015,32.1,33,33,33,32.1
2/21/2015,32.1,33,33,33,32.1
2/21/2015,32.1,33,33,33,32.1
2/22/2015,32.1,33,33,33,32.1
2/23/2015,32.1,33,33,33,32.1
2/24/2015,32.1,33,33,33,32.1
2/25/2015,33,33.5,33.6,33.5,33
2/26/2015,32,33.3,33.5,33.3,32
2/27/2015,32.2,32.4,32.4,32.4,32.2
2/28/2015,32.2,32.4,32.4,32.4,32.2
3/1/2015,32.2,32.4,32.4,32.4,32.2
3/2/2015,31.8,31,32,31,31.95
3/3/2015,31,31,31.8,31,31.45
3/4/2015,31,32.4,32.4,32.4,31.16
3/5/2015,31.1,32.4,32.4,32.4,31.92
3/6/2015,29.6,32.4,32.4,32.4,30.82
3/7/2015,29.6,32.4,32.4,32.4,30.82
3/8/2015,29.6,32.4,32.4,32.4,30.82
3/9/2015,30.2,32.5,32.5,32.5,30.61
3/10/2015,30.2,30.9,31,30.9,30.67
3/11/2015,29.5,30.2,30.2,30.2,30.2
3/12/2015,30,30.1,30.1,30.1,30.02
3/13/2015,28.5,28.5,28.5,28.5,28.5
3/14/2015,28.5,28.5,28.5,28.5,28.5
3/15/2015,28.5,28.5,28.5,28.5,28.5
3/16/2015,28.5,28.5,28.5,28.5,28.5
3/17/2015,25.4,28.5,28.5,28.5,26.52
3/18/2015,25.4,25.4,25.4,25.4,25.4
3/19/2015,25.4,25.9,25.9,25.9,25.9
3/20/2015,25.5,25.9,25.9,25.9,25.65
3/21/2015,25.5,25.9,25.9,25.9,25.65
3/22/2015,25.5,25.9,25.9,25.9,25.65
3/23/2015,25.2,25.5,25.9,25.5,24.8
3/24/2015,25.15,25.3,25.4,25.3,25.2
3/25/2015,25.1,25.1,25.1,25.1,25.1
3/26/2015,25.1,25.1,25.1,25.1,25.1
3/27/2015,26.1,26,26.1,26,26.04
3/28/2015,24.78,26,25.85,26,23.35
3/29/2015,24.78,26,25.85,26,23.35
3/30/2015,27.3,26.5,27.4,26.5,26.39
3/31/2015,28,27.5,28,27.5,27.75
4/1/2015,29,28.2,29,28.2,28.61
4/2/2015,29,29.1,29.5,29.1,29.08
4/3/2015,29,29,29,29,29
4/4/2015,29,29,29,29,29
4/5/2015,29,29,29,29,29
4/6/2015,29,29,29,29,29
4/7/2015,29,29,29,29,29
4/8/2015,28,28,29.6,28,28.7
4/9/2015,28,28,28,28,28
4/10/2015,27.5,29,29.5,29,29.02
4/11/2015,27.5,29,29.5,29,29.02
4/12/2015,27.5,29,29.5,29,29.02
4/13/2015,26.9,28.9,28.9,28.9,26.9
4/14/2015,27,28,28,28,27
4/15/2015,27,27.9,27.9,27.9,27
4/16/2015,27,27.2,27.3,27.2,27
4/17/2015,27,27,27,27,27
4/18/2015,27,27,27,27,27
4/19/2015,27,27,27,27,27
4/20/2015,26.3,29,29,29,26.91
4/21/2015,25,30,30,30,27.62
4/22/2015,27,26.9,27,26.9,26.99
4/23/2015,27,27,27,27,27
4/24/2015,27,27,27,27,27
4/25/2015,27,27,27,27,27
4/26/2015,27,27,27,27,27
4/27/2015,27,27,27,27,27
